name,store_id,category,address,tel,options,mapx,mapy,비고
그린브로스샐러드 강남역점,1767065917,"다이어트,샐러드",서울 강남구 테헤란로 123 여삼빌딩 지하1층 주방6호(역삼동),0507-1345-7208,,127.0314101,37.4995645,
스쿱,1972123158,"다이어트,샐러드",서울 서초구 서초중앙로28길 16 2층,0507-1316-0562,,127.0148427,37.496894,
식단Lab,1037569194,"다이어트,샐러드",서울 강남구 언주로85길 32 지하1층 B103C-CA04호,0507-1307-3657,,127.0407513,37.5009284,
그리너 논현점,1759520368,"다이어트,샐러드",서울 강남구 강남대로124길 35,070-8880-3430,,127.0254023,37.5094005,
샐러그릭 역삼점,1730160336,"다이어트,샐러드",서울 강남구 테헤란로 147 지하1층 샐러그릭,0507-1465-9096,,127.035701,37.5008535,
프로티너 신논현역점,1601063453,"다이어트,샐러드",서울 서초구 강남대로 479 신논현타워 1층,0507-1386-7958,,127.0237788,37.5051494,
알로하포케 신논현점,90462643,"다이어트,샐러드",서울 서초구 강남대로79길 22 2층,02-540-4864,,127.0228605,37.5049476,
슬로우캘리 교대점,1702073792,"다이어트,샐러드",서울 서초구 서초중앙로22길 28 1층,0507-1372-7962,,127.0154145,37.493194,
신선담다 서초점,1204828294,"다이어트,샐러드",서울 서초구 서초대로 350 서초동동아빌라트 지하층 101호,0507-1305-7165,,127.0198368,37.4952017,
힐링샐러드 역삼역점,1730158993,"다이어트,샐러드",서울 강남구 테헤란로 156 221동 217호,0507-0179-1002,,127.0366182,37.5007163,
키친엑스 서초점,1950544351,"다이어트,샐러드",서울 서초구 서초대로 350 지하1층 14호,0507-1327-4015,,127.0198368,37.4952017,
착한부자 다이어트 도시락,1648858709,"다이어트,샐러드",서울 강남구 논현로111길 22,02-517-5279,,127.0317318,37.5074084,
라비센 샐러드,1540773167,"다이어트,샐러드",서울 강남구 도산대로50길 16 102호,0507-1404-8920,,127.0374455,37.5214123,
슬로우캘리 강남역점,1382699975,"다이어트,샐러드",서울 강남구 강남대로66길 14 강남역 와이즈플레이스 1층 109호,0507-1489-4003,,127.0320243,37.491824,
슬로우캘리 강남구청역점,1492384969,"다이어트,샐러드",서울 강남구 학동로 338 강남파라곤 SB103호,0507-1398-8984,,127.040246,37.5166569,
컬러드,1536532022,"다이어트,샐러드",서울 강남구 학동로3길 19 1층,0507-1371-4704,,127.0220664,37.5127797,
지지샐러드&포케,1729721401,"다이어트,샐러드",서울 강남구 역삼로 120 1층 지지샐러드&포케,0507-1329-3823,,127.0324768,37.4936533,
지니스샐러드,1943497276,"다이어트,샐러드",서울 강남구 강남대로94길 28 B2층,02-555-9553,,127.0296414,37.4996214,"09/01-09/28, 10/01-10/28 휴무"
그린앤그릴,1238027126,"다이어트,샐러드",서울 강남구 언주로85길 32 지하1층 B107C호 CA16호,0507-1448-7040,,127.0407513,37.5009284,
그린픽 강남역점,1899345959,"다이어트,샐러드",서울 서초구 서운로 138 지하1층 13호,02-514-0058,,127.025266,37.4959961,
하이라이트 키친,1033795503,"다이어트,샐러드",서울 서초구 서초대로74길 49 아르누보씨티2 지하1층 헬스장 내,0507-1316-9684,,127.0281995,37.4934342,
프로티너 선릉점,1405891982,"다이어트,샐러드",서울 강남구 선릉로90길 56 1층 111호 프로티너매장,0507-1395-1287,,127.0534966,37.5049984,
랩보이,1572291408,"다이어트,샐러드",서울 강남구 테헤란로 124 삼원타워 지하1층 123호,0507-1411-0539,,127.0314416,37.4987228,
오샐러드 선릉점,1572227855,"다이어트,샐러드",서울 강남구 선릉로86길 7 1층 1호 오샐러드,02-555-3938,,127.050411,37.5032734,
Poke all day 포케&샐러드 양재점,1941253545,"다이어트,샐러드",서울 서초구 남부순환로 2567 101-1호 포케올데이,0507-1338-6714,,127.031324,37.4847357,
프레시크레딧 선릉점,1507316423,"다이어트,샐러드",서울 강남구 테헤란로70길 12 H타워 지하1층 103호,0507-1363-5390,,127.0531661,37.5047485,
프레시크레딧 바이젝월드휘트니스점,1346593537,"다이어트,샐러드",서울 강남구 언주로85길 13 지하 1층 바이젝 월드 휘트니스,02-400-6258,,127.042134,37.5009285,
샐리오 포케&샐러드,1550829606,"다이어트,샐러드","서울 강남구 역삼로 166 1층 105, 106호",0507-1407-6273,,127.0372329,37.4950033,
프레시크레딧 선릉본점,1504399567,"다이어트,샐러드",서울 강남구 삼성로95길 15 천해빌딩 1층,0507-1447-0837,,127.0545921,37.5078045,
헬키푸키 논현점,1749690148,"다이어트,샐러드",서울 강남구 강남대로124길 68 103호,0507-1382-0338,,127.0272193,37.5110065,
Poke all day 포케&샐러드 역삼점,1024200937,"다이어트,샐러드",서울 강남구 논현로72길 12 1층,0507-0288-8336,,127.0405335,37.4955424,
배러샐러드,1489584736,"다이어트,샐러드",서울 강남구 강남대로114길 20 지하1층 8호,0507-1490-3740,,127.0258748,37.5059254,
에브리데이샐러드 강남2호점,1970589567,"다이어트,샐러드",서울 강남구 테헤란로 123 지하1층 주방23호,0507-1480-9205,,127.0314101,37.4995645,
프레시크레딧 에이블짐 신논현역점,1844657647,"다이어트,샐러드",서울 서초구 사평대로 371 비2,0507-1381-5634,,127.0236069,37.5045761,
오샐러드 강남점,1263363339,"다이어트,샐러드",서울 강남구 강남대로84길 15 1층 108호,02-2039-5453,,127.0299321,37.4968489,
프로티너 강남역점,1760878702,"다이어트,샐러드",서울 강남구 강남대로78길 12 1층,0507-1337-7958,,127.0302638,37.4949451,
파머스포케 강남역점,1927672314,"다이어트,샐러드",서울 강남구 테헤란로4길 6 지상1층 119호,0507-1396-3559,,127.0296245,37.4978165,
올라포케 강남점,1509126320,"다이어트,샐러드",서울 강남구 테헤란로4길 46 지하1층 비상가 104호,070-8836-8056,,127.0304041,37.4955422,
오트보트,1947162486,"다이어트,샐러드",서울 강남구 테헤란로4길 6 제지1층 B119호,0507-1431-0318,,127.029341,37.4976709,
보울박스 역삼역점,1289315174,"다이어트,샐러드",서울 강남구 논현로85길 70 1층 103호,0507-1476-1455,,127.0324715,37.497856,
프레퍼스 다이어트 푸드 강남직영점,1528251353,"다이어트,샐러드",서울 강남구 테헤란로1길 30 1층,0507-1308-5660,,127.0275009,37.5002511,
슬로우캘리 강남역삼성타운점,1322890119,"다이어트,샐러드",서울 서초구 서초대로74길 23 1층 103호,0507-1489-0459,,127.0271068,37.4956227,
슬로우앤로 역삼1호점,1697182372,"다이어트,샐러드",서울 강남구 언주로85길 32 1층 슬로우앤로 역삼1호점,02-557-3668,,127.0404217,37.5007158,
슬로우캘리 역삼점,1536480943,"다이어트,샐러드",서울 강남구 논현로85길 52 1동 103호,02-539-2999,,127.0336699,37.4980889,
가치있는샐러드,1162990672,"다이어트,샐러드",서울 강남구 테헤란로 423 지하1층,0507-2093-6523,,127.0530665,37.5061634,
프레시크레딧 대치점,1377083347,"다이어트,샐러드","서울 강남구 역삼로 555 1층 102-2호(대치동,더블유타워)",,,127.0634286,37.5049167,
샐러디 강남구청역점,1973292535,"다이어트,샐러드",서울 강남구 선릉로 660 1층 F107호,0507-1388-7665,,127.0421241,37.5155562,
오마이보울,1543931267,"다이어트,샐러드",서울 강남구 역삼로64길 5,0507-1348-5524,,127.0529353,37.500781,
주시브로스 GFC점,51825151,"다이어트,샐러드",서울 강남구 테헤란로 152 강남파이낸스센터 지하2층,02-2112-2840,,127.0366235,37.4998063,
끼니위드팜 강남논현점,1452970708,"다이어트,샐러드",서울 강남구 강남대로124길 67,02-3445-1255,,127.0270326,37.5111165,
파지티브호텔 키친 선릉,1992965239,"다이어트,샐러드",서울 강남구 테헤란로 407 1층,02-6188-0345,,127.0501255,37.5053872,
샐러디 선릉점,12067719,"다이어트,샐러드",서울 강남구 선릉로93길 26 우리빌딩 1층,0507-1353-4066,,127.0464406,37.5047882,
프레시크레딧 삼성역점,1399557706,"다이어트,샐러드",서울 강남구 영동대로85길 20 프레시크레딧 삼성역점,02-400-6258,,127.0618599,37.5070494,
피그인더가든 코엑스점,1714908466,"다이어트,샐러드",서울 강남구 테헤란로87길 22 도심공항터미널 1층 R005호,02-568-5990,,127.059514,37.5100028,
밀샵,72910533,"다이어트,샐러드",서울 강남구 테헤란로 322 지하1층 B136호,0507-1408-1241,,127.0465037,37.5029974,
밸런스포케 역삼점,1828095893,"다이어트,샐러드",서울 강남구 강남대로94길 75 1층,02-553-2329,,127.0334808,37.5007025,
초록밭,1629970353,"다이어트,샐러드",서울 강남구 선릉로 334 1층 102호,0507-1460-8969,,127.0515397,37.4995816,
샐러디 교대역점,1330181209,"다이어트,샐러드",서울 서초구 서초대로54길 15,02-588-1659,,127.0161738,37.4934318,
샐러드어클락플러스 서초점,1918174529,"다이어트,샐러드",서울 서초구 서초대로51길 31 B102호,0507-0289-3863,,127.0136739,37.4965538,
온히어 온샐러드앤포케,1645386419,"다이어트,샐러드",서울 강남구 논현로85길 52 1층 107호,0507-1393-9793,,127.0339099,37.4981244,
샐러드앤가든 서초교대점,1900657404,"다이어트,샐러드",서울 서초구 사임당로 39 1층 104-1호,0507-1372-3508,,127.0140552,37.4883452,
그릴샐러버,1477410609,"다이어트,샐러드",서울 강남구 선릉로 225 지하1층 107호,0507-1360-5970,,127.0527051,37.4953008,
N샐러드,1527073916,"다이어트,샐러드",서울 강남구 테헤란로25길 59 지하1층,0507-0288-7944,,127.0341304,37.5043232,
헬키푸키 서초교대점,1897195156,"다이어트,샐러드",서울 서초구 사임당로 34 1층 102호,0507-1359-8231,,127.0138214,37.4879812,
리브팜 교대,1679311731,"다이어트,샐러드",서울 서초구 서초중앙로 118 KAIS빌딩 1층 리브팜 교대점,02-6403-8189,,127.0141555,37.4924007,
그라츠 샐러드&샌드위치,1014863539,"다이어트,샐러드",서울 강남구 강남대로84길 15 지상 1층 101호,02-565-8255,,127.0298992,37.4972161,
딜리셧 부티끄,1490285105,"다이어트,샐러드",서울 강남구 테헤란로4길 6 219호,02-525-9173,,127.029341,37.4976709,
샐러디 선릉중앙점,1740151664,"다이어트,샐러드",서울 강남구 선릉로86길 18 1층 샐러디 선릉중앙점,0507-1491-3695,식약처 인증 위생등급 매우우수 음식점,127.0512404,37.5033483,
키친엑스 삼성점,1438763384,"다이어트,샐러드",서울 강남구 테헤란로83길 11 지하1층 B101-주방17호,0507-1388-1505,,127.0574633,37.5081634,
훅트포케 선릉점,1887038600,"다이어트,샐러드",서울 강남구 선릉로86길 16-3 1층 훅트,0507-1332-0976,,127.0512743,37.5031614,
Poke all day 포케&샐러드 대치점,1396794476,"다이어트,샐러드",서울 강남구 도곡로63길 12 신농플라자 2층 203호,02-2088-8246,,127.0544225,37.4978326,
27샐러드,1767056338,"다이어트,샐러드",서울 강남구 봉은사로26길 30 지하1층,0507-1465-2789,,127.0338421,37.5051566,
웰빈,1819739943,"다이어트,샐러드",서울 강남구 언주로 427 디오빌역삼 1층 108호,0507-1358-3024,,127.0425677,37.5013582,
올라포케 삼성점,1624425679,"다이어트,샐러드",서울 강남구 영동대로85길 34 1층 102호,0507-2093-7767,,127.0607248,37.506664,
샐러딧 역삼1동점,1568690986,"다이어트,샐러드",서울 강남구 역삼로11길 13-4 102호,0507-1493-7587,,127.0348613,37.4952163,
그리니어스,1165467903,"다이어트,샐러드",서울 강남구 논현로76길 34 103호,0507-1430-5236,,127.0416276,37.4977827,
샐러드박스 삼성역점,1612657646,"다이어트,샐러드",서울 강남구 영동대로86길 6 1층,02-565-7344,,127.0646395,37.5077405,
샐러디 강남점,1842718748,"다이어트,샐러드",서울 강남구 강남대로84길 23 1층 104호,02-2088-5769,식약처 인증 위생등급 매우우수 음식점,127.0302566,37.4970768,
샐러디 삼성점,1222335989,"다이어트,샐러드",서울 강남구 삼성로96길 6 LG트윈텔1 101-1호,02-2191-5071,,127.0566685,37.508487,
구디,1231947028,"다이어트,샐러드",서울 강남구 삼성로119길 49 1층,0507-1410-3374,,127.047565,37.5150111,
Poke all day 포케&샐러드 교대점,1823607028,"다이어트,샐러드",서울 서초구 서초중앙로20길 17 1층 포케올데이 교대점,0507-0284-4561,,127.0151019,37.492358,
카페 리브롱,1848376576,"다이어트,샐러드",서울 강남구 테헤란로79길 51 1층 103호,0507-1304-1860,,127.0538323,37.5101041,
프레퍼스 다이어트 푸드 교대점,1875099695,"다이어트,샐러드","서울 서초구 서초중앙로22길 18 106호, 교대역 5번출구 근처 (우측 골목으로 60m, 사거리에서 좌회전 후 40m, CU 맞은편), 교대역 5번출구 근처 (우측 골목으",02-6082-8284,,127.0151512,37.4931326,
싱싱샐러드 선정릉점,1557454799,"다이어트,샐러드",서울 강남구 봉은사로51길 3-3 지상1층 204호,0507-1378-7862,,127.0424886,37.5103128,
샐러데이즈 서초구청점,1933694470,"다이어트,샐러드",서울 서초구 서운로 26-1 101호,0507-1349-7580,,127.0294024,37.4864019,
슬로우캘리 도곡점,1485675382,"다이어트,샐러드",서울 강남구 남부순환로 2806 지하 1층,0507-1367-7708,,127.0529204,37.4891028,
알라보 강남점,1197358723,"다이어트,샐러드",서울 강남구 테헤란로 129 강남N타워 1층,0507-1381-0946,,127.0323679,37.4999326,
Poke all day 포케&샐러드 삼성점,1530219401,"다이어트,샐러드",서울 강남구 테헤란로88길 10 지하1층 B108호,0507-1379-0630,,127.0594706,37.5068487,
샐러디 강남삼성타운점,1007702109,"다이어트,샐러드","서울 서초구 강남대로 359 1층,111호(서초동,대우도씨에빛2)",02-588-1017,,127.0285871,37.4946434,
Poke all day 포케&샐러드 선정릉점,1611916973,"다이어트,샐러드",서울 강남구 봉은사로 333 모아엘가퍼스트홈 1층104호,02-3443-5582,,127.0428807,37.5106434,
샐러디 한티역점,1699360199,"다이어트,샐러드","서울 강남구 선릉로 320 1층 105호(대치동, 성진빌딩)",02-554-0107,,127.052195,37.498195,
모모 베이글,1576224030,베이글,서울 강남구 삼성로 535 1층 모모베이글,0507-1479-9335,,127.0547033,37.5097026,
위클리베이글 도산공원사거리점,1469449236,베이글,서울 강남구 언주로 729 1층,0507-2093-3745,,127.0342252,37.5199972,
비포베이글 역삼,1307726210,베이글,서울 강남구 테헤란로27길 31 1층 비포베이글,02-554-0010,,127.0372758,37.5033413,
델리백 도곡점,1144627913,베이글,서울 강남구 도곡로 184 103호,0507-1413-2911,,127.0397719,37.4918104,
델리백 서초점,1996812647,베이글,서울 서초구 서초대로 347 B102호,02-533-2911,,127.0194371,37.4956848,
웨인스베이글스 대치점,1580327020,베이글,서울 강남구 도곡로 510 102호,0507-1392-6463,,127.0618824,37.4989553,
토다 베이글 양재점,1100297740,베이글,서울 서초구 남부순환로 2567 1층 토다 베이글 양재점,0507-1458-5402,,127.0312461,37.484551,
웨인스베이글스 강남역점,1251211695,베이글,서울 서초구 효령로77길 34 1층 115호,070-4128-6504,,127.0286342,37.4920581,
웨인스베이글스 센터필드점,1338847480,베이글,서울 강남구 테헤란로 231 센터필드 지하2층 WB53호,02-6985-7271,식약처 인증 위생등급 매우우수 음식점,127.0413566,37.5028813,
강남제분소,1502422959,베이커리,서울 강남구 선릉로129길 26 1층 101호,0507-1417-7987,,127.0393763,37.5159247,
플레어비 현대백화점무역센터점,1054573224,베이커리,서울 강남구 테헤란로 517 현대백화점 무역센터점 지하1층,02-3467-6630,,127.0597052,37.5088449,
햇쌀마루,13150443,베이커리,서울 서초구 서운로 22 1층 햇쌀마루,02-582-9240,,127.0295592,37.486027,
레자미오네뜨,1643374390,베이커리,서울 강남구 학동로5길 5 1층,0507-1497-1872,,127.0229232,37.5120871,
바게트케이,37362104,베이커리,서울 강남구 테헤란로34길 21-10,02-567-9501,,127.0414831,37.5003416,
피트앤브레드 양재점,1966822477,베이커리,서울 강남구 강남대로 256 대우양재디오빌 1층,0507-1388-0272,,127.0334543,37.4865027,
아방베이커리 센터필드점,1414144071,베이커리,서울 강남구 테헤란로 231 센터필드 웨스트동 1층 아방 베이커리,0507-1374-7220,식약처 인증 위생등급 매우우수 음식점,127.0413566,37.5028813,
제이스레시피,603773864,베이커리,서울 강남구 선릉로85길 8 101호,02-567-5580,,127.0489055,37.5027993,
곤트란쉐리에 서초교대점,1528949891,베이커리,"서울 서초구 서초대로50길 35 1동 1층, 2층",02-598-0678,,127.013405,37.4916955,
브레댄코 선릉역점,378333597,베이커리,서울 강남구 테헤란로 340,02-568-0959,,127.048928,37.5044875,
케익오페라,18289747,베이커리,서울 서초구 주흥길 8,02-3442-0068,,127.0208847,37.5042092,
버터풀앤크리멀러스 도곡점,1755731556,베이커리,서울 강남구 도곡로 212 1층,0507-1342-2339,,127.0422503,37.4923814,
드코닝 코엑스몰점,37898999,베이커리,서울 강남구 영동대로 513 코엑스몰 B1F C103호,02-551-5232,식약처 인증 위생등급 매우우수 음식점,127.061159,37.510003,
파리크라상 도곡점,30824672,베이커리,"서울 강남구 언주로30길 27 (도곡동, 오피스텔및 공동주택) 우성리빙텔 1층",02-529-2544,식약처 인증 위생등급 매우우수 음식점,127.0525835,37.4883181,
아뜨베 강남점,1347450560,베이커리,서울 강남구 언주로99길 10 1층,0507-0289-9353,,127.0401686,37.5058546,
르푸도레,1910910096,베이커리,서울 강남구 테헤란로87길 46 오크우드호텔 1층,02-3466-8899,,127.0582571,37.5108135,
밀도 강남역점,1094652805,베이커리,서울 서초구 강남대로 419 무인양품 1층 내 밀도,0507-1477-5052,,127.0263321,37.499878,
하타가야 본점,37486171,베이커리,서울 강남구 봉은사로 146 1층 하타가야,0507-1371-1793,,127.0307106,37.5061229,
김영모과자점 서초본점,1087115109,베이커리,서울 서초구 효령로 403 서초그랑몰 102호,0507-1403-1983,,127.0277225,37.4890151,
곤트란쉐리에 선릉점,1142592456,베이커리,서울 강남구 테헤란로52길 6 1층 101호,0507-1368-9173,,127.0471401,37.5032132,
로젯런던베이글,1230277149,베이커리,서울 강남구 테헤란로33길 20 1층,0507-1470-5459,,127.0391154,37.5031703,
파리크라상 교대역점,13030177,베이커리,서울 서초구 서초중앙로24길 27 G-five 플라자 1층,02-537-8425,"농림축산식품부 제공
안심식당",127.0164171,37.4954178,
어니스크 서초점,37186338,베이커리,서울 서초구 서초대로53길 24 지앤지빌딩 1층,02-537-5094,,127.0145012,37.4963477,
소울마켓 베이커리,1071123680,베이커리,서울 강남구 영동대로 513 코엑스몰 B1층 I 101호,0507-1336-3560,식약처 인증 위생등급 매우우수 음식점,127.0593124,37.5112593,
삼송빵집 코엑스몰점,1643504625,베이커리,"서울 강남구 영동대로 513 (삼성동) 스타필드 코엑스몰 B1층, O109호",02-564-3033,,127.0590166,37.5135701,
아우어베이커리 역삼점,1778692759,베이커리,서울 강남구 언주로85길 29 1층,0507-1416-0425,,127.0408822,37.50062,
